inzpmu9,monza,wow booing lol,16,1662906715.0
inzqqn7,monza,lol cut track audio,16,1662907139.0
inzqqwb,monza,max fully seb phase booing,14,1662907142.0
inzfoz3,monza,genius strategy ferrari ask driver go wrong blame,45,1662902612.0
inzilv4,monza,daniel line 5th place finish fucker fucked,44,1662903895.0
inzclgx,monza,wonder crofty work talking queen death overtake today know,15,1662901075.0
inzdpqj,monza,push george god already complaining radio,13,1662901657.0
inzdpyg,monza,quiet george charles,13,1662901661.0
inzdz3i,monza,max going overtake charles infront whole ferrari garage italian president lmao,13,1662901790.0
inzey55,monza,sainz casually smashing half field drive,14,1662902283.0
inzfqg6,monza,charles plan σ plan σ correction план ш план ш,13,1662902631.0
inzfzse,monza,v e r p p l e,14,1662902747.0
inzg8z8,monza,plan b blow engine,14,1662902859.0
inzg9kk,monza,poor charles mental torture time speaks engineer,13,1662902867.0
inzgbzh,monza,mick one danger loosing seat,14,1662902897.0
inzhcw6,monza,sainz med tire lasted 20 lap leclerc fucked,14,1662903343.0
inzhpna,monza,14 second verstappen red bull strategy building massive lead worrying undercutting seems good one,15,1662903504.0
inzi0c8,monza,sainz taking matter strategy hand,13,1662903635.0
inzihl3,monza,maclaren going fuck rick,14,1662903846.0
inzikae,monza,listen ricc thing,14,1662903876.0
inzikz9,monza,lol come narrative thanks mclaren,14,1662903885.0
inzin9h,monza,fuck mclaren ric,13,1662903911.0
inziuqs,monza,like since mclaren radio daniel gained second valtteri,15,1662903996.0
inzj40c,monza,quick sainz pitstop dreaming,13,1662904105.0
inzj4gc,monza,wait sainz sub 10 second stop legal,14,1662904110.0
inzjeg6,monza,alonso called problem lap ago team said nah wonder thing,13,1662904235.0
inzkbf4,monza,god damn ham beautiful,13,1662904619.0
inzlav1,monza,great pas mick,15,1662905022.0
inzlbzp,monza,pretty slick stuff mick,14,1662905034.0
inzlc7v,monza,damn mick,14,1662905036.0
inzldvz,monza,schumachers overtake latifi pretty fucking exciting,14,1662905055.0
inzlew9,monza,mick watching old ricciardo replay,14,1662905065.0
inzlt1i,monza,never thought much de vries really impressed today even zhou get done absolutely stellar debut definitely worthy seat latifi bot lmao,15,1662905227.0
inzm3cm,monza,omg sylvester stallone hlad showed instead car supposed watch,14,1662905344.0
inzma1w,monza,devries need williams seat,14,1662905423.0
inzmxq5,monza,gawd michael masi music,13,1662905686.0
inznlr0,monza,lmao sorry classic italian organizational competence,14,1662905939.0
inzo27c,monza,four retired car mag moved single spot,15,1662906112.0
inzo4pu,monza,fucking disaster lot thing need change ferrari safety car situation,14,1662906138.0
inzo5cq,monza,live footage removing car http www youtube com watch v igiqocx9ubm,15,1662906145.0
inzo60c,monza,leclerc missing masi,14,1662906152.0
inzo7d2,monza,sc beng late weird matter anyway main issue riccardo car stuck gear would taken long regardless,13,1662906166.0
inzo8pl,monza,honestly sport need changed either count sc lap opt red flag situation relatively clear result sc finish otherwise,14,1662906180.0
inzoa8f,monza,let car unlap go ahead last lap shootout,14,1662906195.0
inzobt6,monza,piss as around calling safety car anyone could figure needed immediately car left,13,1662906210.0
inzocgs,monza,sport officiating incompetent inconsistent,15,1662906217.0
inzogi2,monza,right,16,1662906257.0
inzonr3,monza,talk good nyck finish 9th,14,1662906329.0
inzop1g,monza,called safety car binotto went sunday cruising,14,1662906342.0
inzoq8y,monza,point de vries,15,1662906354.0
inzozoy,monza,well deserved dotd nyck,14,1662906453.0
inzp7sk,monza,babe sunday time weekly dutch anthem viewing,14,1662906544.0
inzpcd2,monza,shit ending figure ranking would stayed,15,1662906596.0
inzptfj,monza,mick much better magnussen despite steiner clowning,13,1662906790.0
inzptki,monza,turn fan sound xd,14,1662906791.0
